time_s,F0_Hz,periodicity
0.02,,0.0
0.03,,0.0
0.04,,0.0
0.05,,0.0
0.06,,0.0
0.07,,0.0
0.08,,0.0
0.09,,0.0
0.1,,0.0
0.11,,0.0
0.12,,0.0
0.13,,0.0
0.14,,0.0
0.15,,0.0
0.16,,0.0
0.17,,0.0
0.18,,0.0
0.19,,0.0
0.2,,0.0
0.21,,0.21286211484492998
0.22,,0.25945871876730897
0.23,,0.19954329497109807
0.24,,0.1628824709616343
0.25,,0.1969755085552641
0.26,,0.1903784703112047
0.27,,0.20732681168740058
0.28,,0.20332223172302433
0.29,,0.2951452873016858
0.3,,0.302441286919933
0.31,,0.31894642608883106
0.32,,0.2839554465091806
0.33,,0.26769165946434537
0.34,,0.27512676186875706
0.35,,0.0
0.36,,0.0
0.37,,0.0
0.38,,0.0
0.39,,0.0
0.4,,0.0
0.41,,0.0
0.42,,0.0
0.43,,0.0
0.44,,0.0
0.45,,0.0
0.46,,0.0
0.47,,0.0
0.48,,0.0
0.49,,0.0
0.5,,0.0
0.51,,0.0
0.52,,0.0
0.53,,0.0
0.54,,0.0
0.55,,0.0
0.56,,0.27550975488670554
0.57,,0.23592685108057102
0.58,332.7358100698681,0.7180933709999273
0.59,282.7285835888945,0.724436618552093
0.6,280.1589311196284,0.8300147049625269
0.61,278.0159938474842,0.7987598467511581
0.62,276.45335304102207,0.8542934976931201
0.63,273.6929992124333,0.8672042162183277
0.64,271.07206931286805,0.9448470703138167
0.65,269.71773761151155,0.9030276522512554
0.66,266.0224633403712,0.7923310187504061
0.67,,0.3542050665618952
0.68,,0.2098539909297551
0.69,,0.2333965192395848
0.7,,0.20714025919163584
0.71,,0.15951382058710292
0.72,,0.18315736730475493
0.73,,0.17253686219504583
0.74,,0.1664686690931806
0.75,,0.22758732524703512
0.76,,0.22028616777111945
0.77,,0.2486770045267376
0.78,,0.2971956854690905
0.79,,0.059769583680280805
0.8,,0.1726793499757865
0.81,,0.17289301692845208
0.82,,0.1435039583694535
0.83,,0.16452706392222857
0.84,,0.2984567634313476
0.85,301.7656797456765,0.7882381898106844
0.86,305.7521012938563,0.9153274518173421
0.87,310.3142892024718,0.9213290411944337
0.88,311.4185165535239,0.9502179296273473
0.89,312.6147182298989,0.9829315598605803
0.9,313.5813680288878,0.992279657721308
0.91,314.5496088427469,0.9879953914225633
0.92,317.2037930859368,0.9471047045785949
0.93,321.2845899453513,0.9118327848953113
0.94,327.098346263795,0.8575856119820336
0.95,333.6105587414366,0.8614861965776353
0.96,339.6171161457706,0.8942913247130425
0.97,346.0721050957583,0.9338641784978194
0.98,349.257471975515,0.8374975648019221
0.99,,0.5061169038811484
1.0,,0.3041115646910204
1.01,,0.44516376754355397
1.02,,0.0
1.03,,0.0
1.04,,0.0
1.05,,0.0
1.06,,0.0
1.07,,0.0
1.08,,0.18420117195383903
1.09,,0.1285620490494819
1.1,399.32927601066535,0.7092957485397587
1.11,362.2653425775915,0.7764345351173153
1.12,356.55054714373557,0.856841043614625
1.13,353.16378578567435,0.8441427238402252
1.14,350.33106819527995,0.8959451804886779
1.15,347.8226789401874,0.9522742128908452
1.16,345.5237848976191,0.9550571911283717
1.17,343.7913987561441,0.936350568753046
1.18,341.1230997603308,0.9409520348927258
1.19,330.6681622456231,0.9391943263032725
1.2,323.1118109807561,0.9773033216358649
1.21,318.4641557810397,0.9768185146167978
