time_s,F0_Hz,periodicity
0.02,,0.0
0.03,,0.0
0.04,,0.0
0.05,,0.0
0.06,,0.0
0.07,,0.0
0.08,,0.0
0.09,,0.0
0.1,,0.0
0.11,,0.0
0.12,,0.0
0.13,,0.0
0.14,,0.0
0.15,,0.0
0.16,,0.0
0.17,,0.0
0.18,,0.0
0.19,,0.0
0.2,,0.0
0.21,,0.0
0.22,,0.2553019017387848
0.23,,0.3419958073157347
0.24,,0.23963092065070102
0.25,,0.2524602833069369
0.26,,0.2037158829291093
0.27,,0.15211924337219834
0.28,,0.135947724264903
0.29,,0.18984043372974357
0.3,,0.18241991250580844
0.31,,0.2005470419745797
0.32,,0.3378859719311309
0.33,,0.3732504066635898
0.34,,0.42153265359429937
0.35,,0.35448038703515594
0.36,,0.0
0.37,,0.0
0.38,,0.0
0.39,,0.0
0.4,,0.0
0.41,,0.0
0.42,,0.0
0.43,,0.0
0.44,,0.0
0.45,,0.0
0.46,,0.0
0.47,,0.0
0.48,,0.0
0.49,,0.0
0.5,,0.0
0.51,,0.0
0.52,,0.0
0.53,,0.0
0.54,,0.0
0.55,,0.0
0.56,,0.0
0.57,,0.0
0.58,,0.0
0.59,,0.5097698181965621
0.6,,0.21527390746037606
0.61,,0.21152954561179377
0.62,,0.1788794023836447
0.63,,0.20235389253698077
0.64,,0.18898210632926354
0.65,,0.22562012481198737
0.66,,0.15987886110364052
0.67,,0.16883383122084145
0.68,,0.1576069730487506
0.69,,0.16169237613138004
0.7,,0.470881025421032
0.71,281.3666480728478,0.7465942205541295
0.72,,0.6247481230303276
0.73,,0.5337504894890251
0.74,,0.48314064137745066
0.75,265.20809392402015,0.6801537564981549
0.76,262.54971723343164,0.9003011275104315
0.77,261.4883822706347,0.9356130098940207
0.78,260.7660544052283,0.9212475935048725
0.79,260.34256922742765,0.9078569236790804
0.8,259.63098508599336,0.8940256710826228
0.81,249.38936501762268,0.8715678000335244
0.82,250.62826422376395,0.8316156616321881
0.83,,0.616257874685218
0.84,,0.4849175609834126
0.85,,0.3997713139269782
0.86,,0.4791316165661957
0.87,286.13554111699506,0.7976591188604107
0.88,295.38992312964274,0.8805633522036616
0.89,300.5510692700599,0.9199373987709762
0.9,301.73544743685983,0.961546406450955
0.91,303.3142178906255,0.9736792172150214
0.92,306.0856338756269,0.9507364707470728
0.93,308.90858217197643,0.9338424408042585
0.94,312.645993734955,0.9358191909238289
0.95,316.4421612529158,0.9303145446524032
0.96,320.6835305539247,0.9573801666964564
0.97,324.0663779048897,0.9694465521695086
0.98,325.86812443736176,0.9909011563043415
0.99,325.9956453054873,0.9749301943998268
1.0,325.8403296437513,0.9540597372893669
1.01,324.8092630310524,0.9281538205393671
1.02,322.551405783196,0.844278245219226
1.03,282.0648020993246,0.9408179937508327
1.04,275.05348661482617,0.7137946080211772
1.05,,0.6264460568114965
1.06,310.5979884950037,0.747637799977566
1.07,299.11001701109194,0.8286478982258824
1.08,296.72189045103886,0.9353737026357776
1.09,294.39897057566026,0.911453784364897
1.1,293.07237435768116,0.9202728914369843
1.11,291.50177698474084,0.9665376085967119
1.12,289.34871182122254,0.9505729156933841
1.13,286.0258156246843,0.9341277394548637
1.14,282.52590009822694,0.9174515860135919
1.15,279.7609359378907,0.9058465318570218
1.16,277.05684713209945,0.904036575164777
1.17,273.7912711986459,0.857936913300665
1.18,266.34816914952944,0.8223268693392668
